0,1,2,3,4
Prodej bytu 2+kk 48 m²,3490000,"Soběšovice, okres Frýdek-Místek","Exkluzivně vám nabízíme zcela výjimečnou příležitost koupi mezonetového bytu se zahradou v exkluzivním projektu rezidenčního viladomu Soběšovice 127 přímo na pláži Žermanické přehrady v bezprostřední blízkosti resortu Maják.  Byty o velikosti od 1+kk až po mezonetové 4+kk jsou citlivě zasazeny do prostředí Žermanické přehrady u Frýdku-Místku. Z každého apartmánu je bezkonkurenční panoramatický výhled na vodní plochu, který navíc rámuje pohoří Beskyd a jejich dominanta Lysá Hora.  Nízkoenergetická zděná stavba splňuje nevyšší energetické nároky, okna s trojskly, podlahové vytápění a další vychytávky. Ke každému apartmánu je vyhrazeno parkovací místo na vlastním pozemku.  Skvělé místo k životu :: Oblast Žermanické přehrady a její okolí je vyhledávanou lokalitou pro rekreační a sportovní vyžití všech generací. Obec Soběšovice disponuje veškerou základní občanskou vybaveností a pravidelnou autobusovou linkou do Havířova a Frýdku-Místku. Dojezdové vzdálenosti autem Frýdek-Místek 12 min., Ostrava 22 min., Havířov 10 min., napojení na D1 za 5 min.  Jedná se o zcela ojedinělou nabídku koupi případně investiční příležitost, v oblasti Žermanické přehrady. Více informací u manažera prodeje.",48
Prodej bytu 2+1 54 m²,2696800,"Frýdlantská, Frýdek-Místek - Místek","Exkluzivně Vám nabízíme k prodeji krásný byt 2+1 se zasklenou lodžii v osobním vlastnictví. Dům se nachází ve velmi žádané lokalitě Frýdku-Místku, na ulici Frýdlantská v 4.NP/5.NP v revitalizovaném domě (nová plastová okna, zateplení včetně střechy, chodby, výtah, zvonky, rozvody atd.). Nemovitost je v původním stavu a nabízí možnost přestavby či změna dispozice, elektřina původní. Byt je velmi slunný, okna na V a JZ. Byt je orientovaný na dvě světové strany a je v původním udržovaném stavu. Samozřejmostí je také sklep. Možnost parkování přímo před domem.  Veškerá občanská vybavenost v těsné blízkosti (školka, poliklinika, banka, pošta, obchodní centrum). V okolí též dostatečné množství zeleně.  Náklady na bydlení jsou velmi nízké. Součástí bytu je sklepní kóje, kolárna a sušárna, vše najdete v suterénu domu. Současně s bytem se bude samostatně prodávat i zděná garáž, která je jen 7 min od domu.  Broker Consulting doporučuje a těší se na Vás s vámi na prohlídce. V rámci našich služeb zajistíme rovněž financování nemovitosti. V případě zájmu o více informací, neváhejte kontaktovat makléře a domluvte si prohlídku. Prohlídky možné od 20. března 2024 po domluvě. ",54
Prodej bytu 2+1 53 m²,2590000,"Slezská, Frýdek-Místek - Frýdek","Vážení klienti, představujeme Vám  byt v osobním vlastnictví o dispozici 2+1 ve Frýdku Místku na ul. Slezská.    Lokalita je velmi dobře dostupná jak z centra města, tak při příjezdu z obchvatu. Místo nabízí kompletní občanskou vybavenost včetně školky, školy a obchodního centra Galeria  Paráda a dalších obchodů a stravovacích zařízení. Výhodou je také zastávka autobusu a pěší dostupnost do centra.    Při příjezdu na prohlídku se potkáme před osmiposchoďovým panelovým domem. V přízemí se nachází garáže, sklepy a technické zázemí. Dům má zateplenou fasádní omítku, nové rozvody a výtah.   Bytová jednotka je v 6. poschodí a je orientovaná na jih s krásným výhledem do zeleně. Díky umístění v domě nabízí výborné klima a dostatek světla.    Byt má užitnou plochu 53 m2.  Z předsíně je vpravo vstup do prostorného obývacího pokoje propojeného s kuchyní. Kuchyňská linka je rohová s bohatými úložnými prostory. Je zde dostatek místa pro pro lednici, případně myčku. Stavební úpravou bytového jádra došlo k rozšíření kuchyně a koupelny, která je vybavena rohovou vanou, umyvadlem a WC.  Vznikl také prostor pro praktickou šatnu. Do koupelny a šatny jsou posuvné dveře, které  šetří prostor. Z předsíně vlevo je vstup do ložnice. Místnosti mají vinylové podlahy. V koupelně je keramický obklad a dlažba.    Dominantou bytu je velký, výborně prosvětlený obytný prostor. Je zde dostatek místa pro sedací soupravu, nábytkovou sestavu i  jídelní stůl.  Spojení s kuchyní tak vytváří přirozený komunikační prostor.   K bytu náleží sklep a možnost užívat společné prostory včetně kolárny. Parkování je možné na ulici před domem.  V blízkosti se nachází cyklostezka, řeka a několik dětských hřišť.   Pro více informací a prohlídku bytu kontaktujte realitního makléře Petra Hanáka",53
Prodej bytu 2+kk 43 m²,1890000,"Bavlnářská, Frýdek-Místek - Frýdek","Nabízíme exkluzivně bytovou jednotku v osobním vlastnictví k rekonstrukci dle vlastních představ, na ulici Bavlnářská v původní okrajové a klidné lokalitě Frýdku. Bytová jednotka je umístěna ve 3. NP z celkových 6 NP. Vstup do domu a k výtahu je bezbariérový, rovněž tak výstup z výtahu je bezbariérový na patře s bytem. Dispozičně je byt s chodbou, samostatnou šatnou, koupelnou, WC, obývacím pokojem s kuchyňským koutem a ložnicí. Z obývacího pokoje je vstup na mini balkón s konzolí k sušení prádla a do ložnice, do té je možno vstupovat i přes komoru - šatnu. Dispozici si budoucí majitel navrhne sám, může například vybourat přičku šatny a zvětšit si tak ložnici. Pohledy z oken vedou částečně do původní vilkové zástavby a částečně k původní bytové zástavbě. Zastávka MHD v dosahu 3 minut, do 5 minut je to pěšky k lékárně, zdravotnickému zařízení a kompletní obchodní síti. Na opačné straně domu navazuje ulice na cyklostezku směrem k obci Dobrá a k centru města. Doporučujeme prohlídku. V případě více zájemců si majitel vyhrazuje právo prodat nejvýhodnější nabídce. Do konce března 2024 nabízíme prostřednictvím našeho partnera úrokové sazby od 4,99 % p.a. Více informací Vám sdělí náš specialista na prohlídce.",43
Prodej bytu 2+1 55 m²,2100000,"Beskydská, Třinec - Lyžbice","Naše realitní kancelář nabízí byt 2+1 v osobním vlastnictví na Beskydské ulici. Je situován v 6.NP s výtahem. Je částečně rekonstruovaný s výměrou 55,16 m2. Dům je po celkové revitalizaci. Obývací pokoj je situovaný na jihozápad a z lodžie je možno vidět Javorový vrch a lesopark.  Podrobnější informace Vám sdělíme při prohlídce bytu.",55
Prodej bytu 2+1 51 m²,2000000,"Bystřice, okres Frýdek-Místek","Ať už hledáte nové bydlení, nebo investiční příležitost, mám pro Vás nyní jedinečnou nabídku.  Představuji Vám novinku - byt o velikosti 2+1 s výměrou 51 m2, který se nachází v centru obce Bystřice. Tento byt nabízí velký obývací pokoj, ložnici, kuchyň, koupelnu a oddělené WC. Navíc v chodbě najdete vestavěnou skříň, což řeší otázku úložného prostoru pro vaše věci. Byt se nachází ve zvýšením přízemí panelového bytového domu po kompletní revitalizaci. Bytový dům má jen 4 obytná podlaží a jedná se tedy poklidné bydlení v menší komunitě. Byt je v původním stavu, a nabízí tak jedinečnou možnost rekonstrukce dle vlastních představ.  Za zmínku jistě stojí pohodlné parkování přímo u domu, což je v centru obce obzvláště ceněná výhoda. Pro ty, kdo hledají snadný přístup ke všem základním službám, bude poloha tohoto bytu jistě ideální. V okolí naleznete základní školu, mateřskou školu, obchody, bankomat, lékárnu, zubní ordinaci, obecní úřad, kino, restaurace, trafiku, poštu i veterinární ordinaci. V případě cestování veřejnou dopravou, i zde poloha bytu poskytuje výbornou dostupnost. Autobusová zastávka je vzdálena cca 300 metrů a vlaková stanice asi 450 metrů.  Zkrátka - základní služby dynamicky se rozvíjející obce a všechny v dosahu pár minut pěší chůze od domu.  Nenechte si ujít tuto jedinečnou příležitost a kontaktujte nás pro více informací nebo prohlídku.",51
Prodej bytu 2+kk 54 m²,3950000,"Ostravice, okres Frýdek-Místek","Bytová jednotka 2+kk se nachází v rodinném cihlovém domě po kompletní rekonstrukci v obci Ostravice.Cihlový dům má novou střechu, nové dřevěné okna s vakuovým trojsklem, hliníkové vstupní dveře, kompletní zateplení budovy šedým polystyrénem 14 cm, kompletní zateplení půdních prostor, nové rozvody, vody, topení a elektřiny, byt má samostatnou přípojku elektřiny + měření společných prostor, byt má vlastní plynový kotel na vytápění + ohřev vody, parkoviště před budovou pro jedno vozidlo, u domu je nové oplocení, v celém domě je wifi, nové rozvody TV a satelitu nová koupelna, nová kuchyně, zámkové dlažby v okolí budovy, nové rozvody venkovního osvětlení. Nutno vidět. Jedna bytová jednotka nacházející se v domě má již nového majitele. Byt je volný ihned. Bližší informace poskytne makléř na osobní prohlídce. Dobrá investice k pronájmu.",54
Prodej bytu 2+1 52 m²,2950000,"Karla Hynka Máchy, Frýdek-Místek - Místek","Máme pro Vás novinku v ''cihláku."" Byt 2+1 na ulici K. Hynka Máchy v Místku se nachází ve 2. podlaží cihlového domu a je ve velmi udržovaném stavu.  Skládá se z prostorné chodby s vestavěnou skříní, prostorné ložnice. Kuchyně disponuje zánovní kuchyňskou linkou a prostorným obývacím pokojem. WC samostatně a koupelna disponuje vanou. Vzhledem ke konstrukci domu je zde možno vytvořit velmi zajímavě dispozičně řešený moderní byt.  Byt je orientován na 2 světové strany, tudíž je dostatečně prosvětlen, ale zároveň v letních měsících je před vedrem stíněn vzrostlými stromy.  Nízké náklady jsou už jen bonusem.  Lokalita je plná zeleně, je zde dostatek parkovacích míst a navíc vše co potřebujete, máte v docházkové vzdálenosti.   Pro bližší informace mě neváhejte kontaktovat. Pro komunikaci uvádějte evidenční číslo zakázky N104185.",52
Prodej bytu 2+kk 60 m²,6449000,"Čeladná, okres Frýdek-Místek","Prodej bytové jednotky 2+kk v rezidenčním domě Žárovec v obci ČELADNÁ.  Byt je situován v 1. podlaží rezidenčního domu, jeho užitná plocha je 60m2 a dispozici tvoří: - vstupní chodba s prostorem pro šatní stěnu - kuchyňský kout s kuchyňskou linkou včetně moderních vestavěných spotřebičů (lednice, myčka, trouba) a barovým ostrůvkem, ve kterém je zabudována sklokeramická varná deska  - obývací pokoj, z něhož je vstup na oplocenou terasu; velké prosklené terasové dveře a okna propustí do pokoje dostatek denního světla  - ložnice, která disponuje prostornou šatnou u níž oceníte dostatek úložných prostor - koupelna vybavená vanou, sprchovým koutem, umyvadlem s umyvadlovou skříňkou, zrcadlem a společnou s WC  V pokojích jsou plovoucí podlahy a v chodbě a koupelně je dlažba. Ložnice má zásuvné interiérové dveře s vestavěným pouzdrem ve stěně. Byt je laděn v přírodních dekorech a působí velice vkusně.  Velkým plusem tohoto bytu je oplocená terasa s výměrou 38m2, která bude místem pro váš odpočinek a relaxaci. Před domem je dětské hřiště s oplocením. Díky poloze domu je v pěší dostupnosti centrum obce a také služby a obchody. Obec Čeladná je vyhledávaným místem k bydlení nejen díky svému bohatému vyžití v podobě různých sportovních aktivit - cykloturistika, pěší turistika, golf, lyžování ale také pro svou dostupnost do Frýdku-Místku či Ostravy.  Kontaktujte nás pro nezávaznou prohlídku s makléřem.   ",60
Prodej bytu 2+kk 48 m²,2880000,"Havlíčkova, Frýdek-Místek - Místek","Nabízím k prodeji pěkný byt 2+kk (48,2 m2) v osobním vlastnictví, v menším bytovém domě s celkem devíti byty, včetně podílu na společné udržované zahrádce v klidném vnitrobloku domu, vhodné pro osobní relaxaci.  V bytě je prostorný obývací pokoj s kuchyňským koutem, ložnice a koupelna s WC.    V únoru 2023 byla dokončena kompletní rekonstrukce tohoto bytu: nové omítky, protipožární SDK konstrukce, vodo a elektro instalace, přebroušení a impregnace dřevěných podlah, pokládka SPC vinylových podlah, nová koupelna, vana, wc Geberit, kuchyňská linka bílý lesk IKEA včetně spotřebičů Mora, led světla, úsporné infra topidla Atlantic Solius II, dveře, obložky a další.  K tomuto bytu náleží prostorný sklep 18,2 m2.  V roce 2011 proběhla kompletní rekonstrukce  celého bytového domu.  Nízké náklady: fond oprav 350 Kč. Žádné opravy nejsou plánované. Dům i byt je bez jakýchkoliv dluhů.  Nyní je byt pronajat slušným nájemníkem. Vhodné jako investiční příležitost.   K bytu je nutné dokoupit i vlastní parkovací místo za cenu 70.000,- Kč.  Celková cena byt + parkovací místo je 2.950.000,- Kč",48
Prodej bytu 2+1 57 m²,2100000,"Máchova, Třinec - Lyžbice","Máme pro Vás zrekonstruovaný družstevní byt na ulici Máchova v Třinci. Byt prošel celkovou rekonstrukcí, jediné co mu schází je nová kuchyňská linka. Nejlepší ale je, že tu si můžete vybrat dle svých vlastních představ.  5 BOžích vlastností bytu: - dispozice 2+kk - 57 m² - byt po rekonstrukci - dům po revitalizaci - výBOrná dostupnost  Byt se nachází ve čtvrtém patře čerstvě revitalizovaného bytového domu bez výtahu. Byt je družstevního vlastnictví, ale jedná se o družstvo, které spravuje jen jeden bytový dům o dvou vchodech a o vše je skvěle postaráno. Nachází se ve strategické lokalitě na konci slepé ulice, pouze pár kroků do centra města a zároveň se hned za domem nachází lesík.  Když Vás byt zaujme, tak se mi ozvěte a těším se na společnou prohlídku.",57
Prodej bytu 2+kk 53 m²,4182000,"Lubenská, Frýdlant nad Ostravicí - Frýdlant","Rezidence Hamerka nabízí 10 nových nízkoenergetických moderních bytů s vlastním parkováním a vlastní zahradou v centru významného podhorského městečka Frýdlantu nad Ostravicí, zvaného Brána Beskyd. Vhodné pro vlastní bydlení nebo jako investici, případně rekreační byt.   Předmětem nabídky je byt v osobním vlastnictví s dispozicí 2+KK a výměrou 53,01m2( včetně balkónu 7,61m2) a sklepní box( cca.2m2). Byt se nachází v 1.patře. K bytu je možno přikoupit parkovací místo na vlastním oploceném parkovišti. K jednotce náleží spoluvlastnický podíl na pozemku( zahradě) okolo domu( 1324m2).  Všude blízko: -	Náměstí, centrum města, kostel (50m) -	Nákupní centrum Albert (5min.), Billa, Penny Market,Drogerie TETA(10 min.), -       2x Základní škola, 2x Mateřská škola, gymnázium( 5 min.), -	Kavárny, restaurace všude hojně v okolí, -	Výchozí bod pro běh, pěší - cyklo turistiku do centra Beskyd( Lysá Hora, Ondřejník, Ostravice, Čeladná apod. apod.) -	Dálnice Frýdek-Místek 11km/14 min., Ostrava centrum 33km/26.min. -	Přímé železniční spojení s Frýdkem-Místkem a Ostravou  Rezidence Hamerka je projekt výstavby bytového domu na pozemku ležícím v bezprostřední blízkosti historického náměstí. Budoucí bytový dům tvoří obdélníková budova o třech podlažích, kde na dvou se nachází celkem 10 bytových jednotek a na střeše pak dvě samostatné s terasami. Budova je umístněná ve středu vlastního pozemku o celkové výměře 1779m2. Pozemek je přístupný z ulic Lubenská a Bezručova. K dispozici bude 12 jednotek o velikostech 1+KK, 2+KK a 3+KK. Na pozemku bude vlastní parkovací plocha se stejným množstvím parkovacích míst, posezení v zeleni. Architektura objektu respektuje okolní zástavbu formou použití tradičních materiálů v moderním pojetí zároveň. Objekt bude využívat nejmodernější technologie k dosažení maximálních energetických úspor pro její budoucí uživatelé. Investor kladl důraz na vysoké zateplení objektu a z části použití výroby vlastní energie pro objekt ve snaze maximálně snížit výdaje svým uživatelům. Ke každé jednotce bude k dispozici kóje pro uskladnění věcí mimo byt.   Plán projektu: 1.3.2024 zahájení stavby/ srpen 2024 hrubá stavba/ březen 2025 předání jednotek.  Bližší informace na vyžádání. Financování můžeme zajistit.",53
Prodej bytu 2+kk 35 m²,2390000,"El. Krásnohorské, Frýdek-Místek - Frýdek","Nabízíme Vám ke koupi celkově zrekonstruovaný byt 2+kk ve velmi žádané lokalitě, ve Frýdku, na ulici Elišky Krásnohorské.  Bytová jednotka o celkové ploše 40 m2 s příslušenstvím, se nachází v 2.NP/3 cihlového domu a prošla celkovou rekonstrukci, kde byli použity kvalitní materiály. V celém bytě nová elektřina, rozvody plynu, vody a odpadů, nové omítky, sádrokartonové podhledy, podlahy jsou nově vylité lehčeným betonem na nich položený lepený vinyl.  Skládá se z chodby, obývacího pokoje s kuchyňským koutem, kuch. linkou na míru s vestavěnými spotřebiči (horkovzdušná trouba, indukční varná deska, myčka, lednice s mrazákem), pokoje, zděné koupelny se sprchovým koutem, nové obklady a dlažba. V mezipatře se nachází komora, v suterénu sklepní kóje.  Za domem se nachází oplocená zahrada ve vlastnictví Města, kterou majitelé bytů využívají k posezení a relaxaci, po domluvě lze vybudovat parkovací stání. V blízkosti veškerá dostupnost a občanská vybavenost (škola, školka, obchody, pošta a MHD v blízkosti).  Vzhledem k tomu, že mi průkaz energetické náročnosti budovy zatím nebyl předložen, jsem dle zákona povinna uvádět třídu G.  ",35
Prodej bytu 2+kk 66 m²,4965000,"Ostravice, okres Frýdek-Místek","Rádi Vám představujeme k prodeji byt o dispozici 2+kk o výměře 66 m2, který kombinuje moderní design s pohodlím a prostorností. Tento byt vyniká rozlehlým obývacím prostorem spojeným s kuchyňským koutem, ložnicí, koupelnou a chodbou s dostatkem místa pro úložné prostory. Přilehlá prostorná terasa o výměře 13 m2 je ideálním místem pro odpočinek a společná setkání a zároveň zajišťuje i dostatek přirozeného denního světla v interiéru.  V rámci tohoto jedinečného projektu vzniknou celkem 3 moderní bytové domy. Rezidence Beskydy nabídne 72 stylových bytů o dispozicích 1+kk až 4+kk s výhledem na vrcholky okolních hor. Tento komplex je umístěn přímo u břehu řeky Ostravice a je situován v exkluzivní rekreační lokalitě v blízkosti přehrady Šance, v těsné blízkosti přírody plné lesů s výhledem na Lysou horu.  Každý byt bude mít balkon, terasu nebo zahrádku, sklepní kóji a parkovací stání. Svým konceptem rezidence uspokojí jak zájemce o rodinné či rekreační bydlení.   Doporučujeme pro více informací kontaktovat makléře.",66
Prodej bytu 2+1 55 m²,1800000,"Lidická, Třinec - Lyžbice","Uvažujete o koupi útulného bytu s výhledem na Beskydy? Nabízíme na prodej dr. byt 2+1 v oblíbené části Lyžbice, situovaný v 5. nadzemním podlaží panelového domu s moderní dispozicí a balkonem. Byt prošel kompletní rekonstrukcí v roce 2023, přičemž lze vyzdvihnout jeho moderně pojatou otevřenou kuchyň s obývacím pokojem, která slouží jako hlavní prostor pro každodenní život. Koupelnové jádro je zděné, praktické využití prostoru včetně sprchového koutu, místa pro pračku, umyvadlo a bojler. Vytápění je centrální. Z balkonu se nabízí působivý výhled na zalesněné vrcholy Beskyd. Díky orientaci na dvě světové strany je byt po celý den prosvětlen přirozeným světlem. Užitná plocha 55 m² poskytuje dostatek prostoru pro pohodlné bydlení. Výhodná poloha v centru Lyžbic zaručuje blízkost veškeré občanské vybavenosti. Nechte se okouzlit tímto bytem, který kombinuje prostorné bydlení s panoramatickými výhledy a moderní bytový standard. Přijďte se přesvědčit osobně. S financováním vám rádi pomůžeme.",55
